text;context;verse;predicate;form;lexeme;PoS;head;anim;semantics;number;role;case;marker;allomorph;postp;trajector;motion;dialect;area;year;period
Lç;"""Eta billuzi zutenean eman ziezoten <soinera> eskarlatazko manto bat""";Mt 27,28;eman;soinera;soin;noun;soin;inanim;body-part;SG;Location;allative;–ra;;;artifact;real;L;E;1571;Archaic
Lç;"""egotz zezan bere burua ahozpez <haren oinetara>""";Lk 17,16;egotzi;oinetara;oin;noun;oin;inanim;body-part;PL;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""bortxatu izan dirade anhitz gauzaren <konfesatzera> eta aboatzera""";Intro;bortxatu;konfesatzera;konfesatu;nmlz;konfesatu;inanim;;SG;Complement;allative;–ra;;;human;inanim;L;E;1571;Archaic
Lç;"""bortxatu izan dirade anhitz gauzaren konfesatzera eta <aboatzera>""";Intro;bortxatu;aboatzera;aboatun;nmlz;aboatun;inanim;;SG;Complement;allative;–ra;;;human;inanim;L;E;1571;Archaic
Lç;"""Hipokritá, zuetarik batbederak Sabathoan eztu laxatzen bere idia edo bere astoa manjederatik, eta eramaiten <ederatera>?""";Lk 13,15;eraman;ederatera;eradan;nmlz;eradan;inanim;;SG;Purpose;allative;–ra;;;animal;real;L;E;1571;Archaic
Lç;"""sar zitezen zibitate saindura""";Mt 27,53;sartu;saindura;saindu;adj;ziutate;inanim;settlement;SG;Goal;allative;–ra;;;people;real;L;E;1571;Archaic
Lç;"""Eta libraturen du anaieak anaiea <heriotara>, eta aiták haurra.""";Mt 10,21;libratu;heriora;herio;noun;herio;inanim;abstract;SG;Goal;allative;–ra;;;human;inanim;L;E;1571;Archaic
Lç;"""Eta libraturen du anaieak anaiea <heriotara>, eta aiták haurra.""";Mk 13,12;libratu;heriora;herio;noun;herio;inanim;abstract;SG;Goal;allative;–ra;;;human;inanim;L;E;1571;Archaic
Lç;"""ihes egik <Egiptera>""";Mt 2,13;ihes_egin;egiptera;egipto;toponym;egipto;inanim;country;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""Ezen ethorri naiz gizonaren bere aitaren kontra gudutan <ezartera>""";Mt 10,35;etorri;ezartera;ezarri;nmlz;ezarri;inanim;;SG;Purpose;allative;–ra;;;human;metaphoric;L;E;1571;Archaic
Lç;"""gogoatzen zuen nola populuak money emaiten zuen <trunkora>""";Mk 12,41;eman;trunkora;trunko;noun;trunko;inanim;container;SG;Goal;allative;–ra;;;money;real;L;E;1571;Archaic
Lç;"""ezen behar zuela joan <Jerusalemera>""";Mt 16,21;joan;jerusalemera;jerusalem;toponym;jerusalem;inanim;settlement;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""Eta goiti zezaten zathietarik <hamabi saskitara>, eta arrainetarik zerbait.""";Mk 6,43;goititu;saskitara;saski;noun;saski;inanim;container;indet;Goal;allative;–ra;;;substance;real;L;E;1571;Archaic
Lç;"""Eta hek igorri zituenean, <mendira> joan zedin othoitz egitera.""";Mk 6,46;joan;mendira;mendi;noun;mendi;inanim;area;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""Eta hek igorri zituenean, mendira joan zedin <othoitz egitera>.""";Mk 6,46;joan;othoitz_egitera;otoitz_egin;nmlz;otoitz_egin;inanim;;SG;Purpose;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""Ilkhi zedin ereille bat <bere haziaren ereitera>, eta ereitean parte bat eror zedin bide bazterrera""";Lk 8,5;jalgi;ereitera;erein;nmlz;erein;inanim;;SG;Purpose;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""Ilkhi zedin ereille bat bere haziaren ereitera, eta ereitean parte bat eror zedin <bide bazterrera>""";Lk 8,5;erori;bazterrera;bazter;noun;bazter;inanim;area;SG;Goal;allative;–ra;;;substance;real;L;E;1571;Archaic
Lç;"""eztadin hire gorputz guzia egotz <gehennara>.""";Mt 5,29;egotzi;gehennara;gehenna;noun;gehenna;inanim;heaven;SG;Goal;allative;–ra;;;body;metaphoric;L;E;1571;Archaic
Lç;"""Apostoluak ditu <predikatzera> eta batheiatzera igorten.""";Mk 16;igorri;predikatzera;predikatu;nmlz;predikatu;inanim;;SG;Purpose;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""Apostoluak ditu predikatzera eta <batheiatzera> igorten.""";Mk 16;igorri;batheiatzera;bataiatu;nmlz;bataiatu;inanim;;SG;Purpose;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""ethor zedin bere ""herrira>""";Mk 6,Archaic;etorri;herrira;herri;noun;herri;inanim;settlement;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;""" Eta ilkhirik spiritu satsuak sar zitezen <urdetara>, eta oldar zedin urdaldea gainetik behera itsasora""";Mk 5,13;sartu;urdetara;urde;noun;urde;animal;mass;PL;Goal;allative;–ra;;;spirit;real;L;E;1571;Archaic
Lç;""" Eta ilkhirik spiritu satsuak sar zitezen urdetara, eta oldar zedin urdaldea <gainetik behera> itsasora""";Mk 5,13;oldartu;behera;behe;adv;behe;inanim;orientation;SG;Manner;allative;–ra;;;substance;real;L;E;1571;Archaic
